input_game,appid,display_name,release_year,genres,categories,tags,similarity_score
Call of Duty®: Black Ops 6,1938090,Call of Duty®,2022,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Captions available', 'In-App Purchases']","{'FPS': 2117, 'Multiplayer': 1875, 'Shooter': 1781, 'Singleplayer': 1733, 'Action': 1722, 'Military': 1643, 'First-Person': 1561, 'War': 1504, 'Modern': 1411, 'Tactical': 1332, 'Violent': 1316, 'Co-op': 1297, 'Realistic': 1274, 'Story Rich': 1221, 'Atmospheric': 1056, 'Mature': 558, 'Online Co-Op': 492, 'Gore': 363, 'Third-Person Shooter': 257, 'Third Person': 254}",0.54619414
Call of Duty®: Black Ops 6,1174380,ESPIONAGE: Mafia Evolved,2022,"['Action', 'Casual', 'Free To Play', 'Indie', 'Strategy']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Captions available', 'In-App Purchases']",[],0.4806813
Call of Duty®: Black Ops 6,1989990,Touhou Crisis,2022,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements']",[],0.4777066
Call of Duty®: Black Ops 6,1015520,Age of Empires IV Technical Stress Test,2021,['Strategy'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements']",[],0.45752907
Call of Duty®: Black Ops 6,2519060,Call of Duty®: Modern Warfare® III,2023,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Captions available', 'In-App Purchases']","{'Action': 244, 'FPS': 228, 'Multiplayer': 172, 'Singleplayer': 172, 'Shooter': 161, 'Military': 139, 'First-Person': 135, 'War': 118, 'PvP': 117, 'Modern': 102, 'Co-op': 91, 'Tactical': 89, 'Violent': 86, 'Online Co-Op': 81, 'Gore': 74, 'Story Rich': 74, 'Realistic': 44, 'Combat': 38, 'Open World': 36, 'PvE': 25}",0.45675868
Call of Duty®: Black Ops 6,1962660,Call of Duty®: Modern Warfare® II,2022,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Captions available', 'In-App Purchases']","{'Action': 151, 'FPS': 105, 'Singleplayer': 95, 'Multiplayer': 92, 'Shooter': 79, 'Military': 67, 'War': 63, 'Story Rich': 55, 'Online Co-Op': 53, 'Gore': 49, 'PvP': 45, 'Tactical': 44, 'Realistic': 44, 'Violent': 42, 'Co-op': 40, 'Atmospheric': 36, 'Third-Person Shooter': 35, 'First-Person': 34, 'Third Person': 33, 'Dating Sim': 19}",0.43518144
Call of Duty®: Black Ops 6,2003240,PSI Masquerade,2022,"['Action', 'Indie']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases']",[],0.43062901
Call of Duty®: Black Ops 6,2767030,Marvel Rivals,2024,"['Action', 'Free To Play']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']",[],0.43054795
Call of Duty®: Black Ops 6,2357570,Overwatch® 2,2023,"['Action', 'Free To Play']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']",[],0.43054795
Call of Duty®: Black Ops 6,2073850,THE FINALS,2023,"['Action', 'Free To Play']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']",[],0.43054795
Battlefield™ 2042,359550,Tom Clancy's Rainbow Six® Siege,2015,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']","{'FPS': 9831, 'PvP': 9162, 'e-sports': 9072, 'Multiplayer': 9063, 'Tactical': 9056, 'Shooter': 9053, 'Competitive': 8973, 'Online Co-Op': 8944, 'Action': 8928, 'Hero Shooter': 8887, 'Team-Based': 5637, 'Military': 4966, 'Strategy': 4921, 'First-Person': 4902, 'Co-op': 4874, 'War': 4867, 'Realistic': 4864, 'Destruction': 4857, 'Difficult': 2103, '3D': 1892}",0.4316942
Battlefield™ 2042,1785150,Friends vs Friends,2023,"['Action', 'Indie']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards', 'Family Sharing']","{'Card Game': 11083, 'Action': 10950, 'Old School': 10853, 'Online Co-Op': 10370, 'Co-op': 8544, 'FPS': 7988, 'Battle Royale': 7623, 'Colorful': 7232, 'Multiplayer': 7228, 'Team-Based': 7220, 'Indie': 7158, 'PvP': 7120, 'Shooter': 7112, 'Combat': 7101, 'Arena Shooter': 7097, 'First-Person': 7092, 'Hero Shooter': 7037, 'Pixel Graphics': 7030, 'Gun Customization': 7023, 'Destruction': 7009}",0.38173604
Battlefield™ 2042,443110,Armored Warfare,2017,"['Action', 'Massively Multiplayer', 'Simulation', 'Strategy', 'Free To Play']","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Steam Turn Notifications']","{'Realistic': 1853, 'Shooter': 1837, 'Alternate History': 1786, 'War': 1719, 'Online Co-Op': 1697, 'Strategy': 1521, 'Capitalism': 1339, 'Destruction': 1310, 'Modern': 1283, 'Co-op Campaign': 1277, 'Dystopian ': 1272, 'Free to Play': 1242, 'Tanks': 1236, 'PvE': 1233, 'Vehicular Combat': 1226, 'Action': 1210, 'PvP': 1205, 'Military': 1168, 'Tactical': 1161, 'Team-Based': 1157}",0.3771258
Battlefield™ 2042,2491360,召唤之王 (Supreme Summoner),2023,"['Casual', 'Indie', 'RPG', 'Strategy', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases']",[],0.37080908
Battlefield™ 2042,2176790,Furry Arena [18+],2022,"['Action', 'Adventure']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing']",[],0.35044527
Battlefield™ 2042,1292630,3on3 FreeStyle: Rebound,2020,"['Action', 'Casual', 'Indie', 'RPG', 'Sports', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']","{'Basketball': 1458, 'Team-Based': 1387, 'PvP': 1364, 'Third-Person Shooter': 1308, 'Online Co-Op': 1265, '3D': 1164, 'Arcade': 1130, 'Singleplayer': 1062, 'Shooter': 1050, 'Strategy': 1044, 'Action': 1037, 'e-sports': 1034, 'Sports': 1027, 'Multiplayer': 1020, 'Character Customization': 999, 'RPG': 990, 'Controller': 975, 'Free to Play': 964, 'Family Friendly': 917, 'Casual': 868}",0.35010707
Battlefield™ 2042,1172470,Apex Legends™,2020,"['Action', 'Adventure', 'Free To Play']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']","{'Free to Play': 2170, 'Battle Royale': 1483, 'Multiplayer': 1477, 'FPS': 1442, 'Shooter': 1350, 'First-Person': 1099, 'PvP': 931, 'Action': 825, 'Hero Shooter': 762, 'Team-Based': 736, 'Tactical': 556, 'Sci-fi': 501, 'Survival': 493, 'Loot': 491, 'Co-op': 475, 'Character Customization': 474, 'Funny': 456, 'Lore-Rich': 368, 'Cyberpunk': 355, 'Cinematic': 296}",0.34947294
Battlefield™ 2042,304390,FOR HONOR™,2024,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']","{'Medieval': 4059, 'Swordplay': 1254, 'Action': 1205, 'Multiplayer': 1135, 'Fighting': 1061, 'PvP': 1045, 'Third Person': 922, 'War': 812, 'Gore': 701, 'Co-op': 692, 'Singleplayer': 650, 'Online Co-Op': 616, 'Hack and Slash': 523, 'Realistic': 487, 'Strategy': 442, 'Atmospheric': 399, 'RPG': 338, 'Fantasy': 327, 'MOBA': 293, 'Story Rich': 289}",0.34761345
Battlefield™ 2042,3177740,PingWin,2024,['Casual'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Family Sharing']",[],0.34648943
Battlefield™ 2042,444200,World of Tanks Blitz,2016,"['Action', 'Massively Multiplayer', 'Simulation', 'Strategy', 'Free To Play']","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'In-App Purchases']","{'Tanks': 2892, 'Free to Play': 1935, 'Shooter': 1906, 'Action': 1888, 'FPS': 1884, 'Strategy': 1018, 'Multiplayer': 1013, 'Massively Multiplayer': 1012, 'PvP': 1007, 'Real Time Tactics': 1006, 'World War II': 1006, 'Team-Based': 996, 'War': 992, 'Online Co-Op': 991, 'Competitive': 987, 'Military': 982, 'Singleplayer': 982, 'Realistic': 980, '3D Platformer': 979, 'Vehicular Combat': 499}",0.34484726
