appid,game_name,minimum_requirements,recommended_requirements
338390,The Technomancer,"Minimum:
OS *:
Windows 7 / 8 / 10 (64-bit versions only)
Processor:
AMD FX-4100 X4 (3,6 GHz)/Intel Core i5-2500 (3,3 GHz)
Memory:
4 GB RAM
Graphics:
1 GB, DirectX 11, AMD Radeon HD 6950/NVIDIA GeForce GTX 560
DirectX:
Version 11
Storage:
11 GB available space
Sound Card:
DirectX compatible
Additional Notes:
Internet connection required for game activation",
746850,Cloudpunk,"Minimum:
Requires a 64-bit processor and operating system
OS *:
Windows 7/10 (64 bit)
Processor:
AMD / Intel CPU (AMD FX-4300 or Intel i3-4130 or newer)
Memory:
8 GB RAM
Graphics:
AMD / NVIDIA dedicated graphics card, with at least 2GB of dedicated VRAM and Shader Model 5.1 support (AMD R9 285 and NVIDIA GeForce GTX 760 or newer)
DirectX:
Version 11
Network:
Broadband Internet connection
Storage:
7 GB available space
Sound Card:
Integrated or dedicated DirectX 9 compatible soundcard
Additional Notes:
Controller or keyboard + mouse. This game fully supports
GeForce Now
. If your PC does not meet the minimum requirements, you can link your Steam library and play it there. It works really well, even on low-end PCs, Mac or Android devices.","Recommended:
Requires a 64-bit processor and operating system
OS:
Windows 10 (64 bit)
Processor:
AMD / Intel CPU (AMD Ryzen 3 1300x or Intel i7-930 or newer)
Memory:
16 GB RAM
Graphics:
AMD / NVIDIA dedicated graphics card, with 6GB of dedicated VRAM and Shader Model 6.0/6.1 support (i.e. AMD RX 580 8GB and NVIDIA GeForce GTX 1060 or newer)
DirectX:
Version 11
Network:
Broadband Internet connection
Storage:
7 GB available space
Sound Card:
Integrated or dedicated DirectX 9 compatible soundcard
Additional Notes:
SSD drive, Controller or keyboard + mouse"
2457220,Avowed,"Minimum:
Requires a 64-bit processor and operating system
OS:
Windows 10/11 with updates
Processor:
AMD Ryzen 5 2600 / Intel i5-8400
Memory:
16 GB RAM
Graphics:
AMD RX 5700 / Nvidia GTX 1070 / Intel Arc A580
DirectX:
Version 12
Storage:
75 GB available space","Recommended:
Requires a 64-bit processor and operating system
OS:
Windows 10/11 with updates
Processor:
AMD Ryzen 5 5600X / Intel i7-10700K
Memory:
16 GB RAM
Graphics:
Graphics: AMD RX 6800 XT / Nvidia RTX 3080
DirectX:
Version 12
Storage:
75 GB available space"
345350,LIGHTNING RETURNS™: FINAL FANTASY® XIII,"Minimum:
OS *:
Windows® XP SP2 or later
Processor:
2GHz Dual Core CPU
Memory:
1500 MB RAM
Graphics:
NVIDIA® Geforce® 8800GT / ATI Radeon™ HD 4770 VRAM 512MB or later
DirectX:
Version 9.0c
Storage:
22 GB available space
Sound Card:
Sound card compatible with DirectX® 9.0c
Additional Notes:","Recommended:
OS *:
Windows® Vista/ 7/ 8
Processor:
Intel® Core™ 2 Quad (2.66 GHz)/ AMD Phenom™ II X4 (2.8 GHz) processor
Memory:
2 GB RAM
Graphics:
NVIDIA® Geforce® GTX™ 460/ ATI Radeon™ HD 5770
DirectX:
Version 9.0c
Storage:
22 GB available space
Sound Card:
Sound card compatible with DirectX® 9.0c
Additional Notes:
*Maximum supported frame rate: 60fps
*Graphic Options
*A game controller using Xinput is recomended for this game. (If using a DirectInput based controller, please use the driver side key configuration to adjust settings as required )"
292030,The Witcher 3: Wild Hunt,"Minimum:
OS *:
64-bit Windows 7, 64-bit Windows 8 (8.1)
Processor:
Intel CPU Core i5-2500K 3.3GHz / AMD A10-5800K APU (3.8GHz)
Memory:
6 GB RAM
Graphics:
Nvidia GPU GeForce GTX 660 / AMD GPU Radeon HD 7870
DirectX:
Version 11
Storage:
50 GB available space","Recommended:
OS:
64-bit Windows 10/11
Processor:
Intel Core i5-7400 / Ryzen 5 1600
Memory:
8 GB RAM
Graphics:
Nvidia GTX 1070 / Radeon RX 480
DirectX:
Version 12
Storage:
50 GB available space"
337000,Deus Ex: Mankind Divided,"Minimum:
OS *:
Windows 7.1SP1 or above (64-bit Operating System Required)
Processor:
Intel Core i3-2100 or AMD equivalent
Memory:
8 GB RAM
Graphics:
AMD Radeon HD 7870 (2GB) or NVIDIA GeForce GTX 660 (2GB)
Storage:
45 GB available space","Recommended:
OS:
Windows 10 64-bit
Processor:
Intel Core i7-3770K or AMD FX 8350 Wraith
Memory:
16 GB RAM
Graphics:
AMD Radeon RX 480 - 1920 x 1080 or NVIDIA GTX 970 - 1920 x 1080
Storage:
55 GB available space
Additional Notes:
55GB HD space includes DLC"
606880,GreedFall,"Minimum:
Requires a 64-bit processor and operating system
OS *:
Windows 7/8/10 (64 bits)
Processor:
Intel Core i5-3450 (3.1 GHz) / AMD FX-6300 X6 (3.5 GHz)
Memory:
8 GB RAM
Graphics:
2 GB, GeForce GTX 660/Radeon HD 7870
Storage:
25 GB available space
Additional Notes:
INTERNET CONNECTION REQUIRED FOR GAME ACTIVATION","Recommended:
Requires a 64-bit processor and operating system
OS *:
Windows 7/8/10 (64 bits)
Processor:
Intel Core i5-4690 (3.5 GHz)/AMD FX-8300 (3.3 GHz)
Memory:
16 GB RAM
Graphics:
4 GB, GeForce GTX 980 / Radeon RX 590
Storage:
25 GB available space
Additional Notes:
INTERNET CONNECTION REQUIRED FOR GAME ACTIVATION"
1716740,Starfield,"Minimum:
OS:
Windows 10 version 21H1 (10.0.19043)
Processor:
AMD Ryzen 5 2600X, Intel Core i7-6800K
Memory:
16 GB RAM
Graphics:
AMD Radeon RX 5700, NVIDIA GeForce 1070 Ti
DirectX:
Version 12
Storage:
125 GB available space
Additional Notes:
SSD Required","Recommended:
OS:
Windows 10/11 with updates
Processor:
AMD Ryzen 5 3600X, Intel i5-10600K
Memory:
16 GB RAM
Graphics:
AMD Radeon RX 6800 XT, NVIDIA GeForce RTX 2080
DirectX:
Version 12
Network:
Broadband Internet connection
Storage:
125 GB available space
Additional Notes:
SSD Required"
578650,The Outer Worlds,"Minimum:
Requires a 64-bit processor and operating system
OS *:
Windows 7 (SP1) 64bit
Processor:
Intel Core i3-3225 or AMD Phenom II X6 1100T
Memory:
4 GB RAM
Graphics:
Nvidia GTX 650 Ti or AMD HD 7850
Storage:
40 GB available space","Recommended:
Requires a 64-bit processor and operating system
OS:
Windows 10 64bit
Processor:
Intel Core i7-7700K or Ryzen 5 1600
Memory:
8 GB RAM
Graphics:
GeForce GTX 1060 6GB or Radeon RX 470
Storage:
40 GB available space"
1776380,STAR OCEAN THE DIVINE FORCE,"Minimum:
Requires a 64-bit processor and operating system
OS:
Windows® 10 / Windows® 11 64-bit
Processor:
Intel® Core™ i7-7700 / AMD Ryzen™ 5 1500X
Memory:
16 GB RAM
Graphics:
NVIDIA® GeForce® GTX 1060 6 GB VRAM / AMD Radeon™ RX 580
DirectX:
Version 11
Storage:
70 GB available space
Additional Notes:
1280x720, ""Prioritize Image Quality"", Quality Preset ""Normal"", 50+ FPS Minimum 4GB VRAM required SSD storage recommended","Recommended:
Requires a 64-bit processor and operating system
OS:
Windows® 10 / Windows® 11 64-bit
Processor:
Intel® Core™ i7-8700K / AMD Ryzen™ 5 3600X
Memory:
16 GB RAM
Graphics:
NVIDIA® GeForce® RTX 2070 / AMD Radeon™ RX 5700 XT
DirectX:
Version 11
Storage:
70 GB available space
Additional Notes:
1920x1080, ""Prioritize Image Quality"", Quality Preset ""High"", 60 FPS (capped) SSD storage recommended"
