query_appid,query_game,graph_rank,appid,recommended_game,graph_score,release_date,genres,recommendations,positive,negative,num_reviews_total,average_playtime_forever,median_playtime_forever,peak_ccu,metacritic_score
1245620,ELDEN RING,1,374320,DARK SOULS™ III,0.733481,2016-04-11,['Action'],258226,383471,23127,258335.0,14198,1763,8088,89
1245620,ELDEN RING,2,335300,DARK SOULS™ II: Scholar of the First Sin,0.655788,2015-04-01,"['Action', 'RPG']",72139,95104,17969,72245.0,3228,2161,1985,79
1245620,ELDEN RING,3,1766100,The Last Hero of Nostalgaia,0.628599,2022-10-19,"['Action', 'Adventure']",1551,1367,344,1562.0,220,265,28,0
1245620,ELDEN RING,4,678960,CODE VEIN,0.6272,2019-09-26,"['Action', 'RPG']",42013,47795,8745,42021.0,0,0,336,72
1245620,ELDEN RING,5,570940,DARK SOULS™: REMASTERED,0.619431,2018-05-23,['Action'],79629,113203,9775,79757.0,10732,1389,2641,84
1245620,ELDEN RING,6,1358700,STRANGER OF PARADISE FINAL FANTASY ORIGIN,0.611093,2023-04-06,"['Action', 'Adventure', 'RPG']",2776,2912,541,2779.0,2341,2766,63,0
1245620,ELDEN RING,7,2130510,Divinus Vanitas,0.595549,2022-09-14,"['Action', 'Adventure', 'RPG']",0,29,8,27.0,0,0,0,0
1245620,ELDEN RING,8,637650,FINAL FANTASY XV WINDOWS EDITION,0.584495,2018-03-06,['RPG'],40750,43897,8927,40759.0,2160,1186,598,0
1245620,ELDEN RING,9,243930,Bound By Flame,0.583771,2014-05-08,"['Action', 'RPG']",2833,2573,1206,2833.0,0,0,16,56
1245620,ELDEN RING,10,236430,DARK SOULS™ II,0.57996,2014-04-25,"['Action', 'RPG']",30603,38841,5063,30620.0,4028,3389,249,91
1245620,ELDEN RING,11,899440,GOD EATER 3,0.579879,2019-02-07,['Action'],7149,7343,1903,7154.0,468,195,63,71
1245620,ELDEN RING,12,1944360,Rune Teller,0.573579,2023-02-09,"['Action', 'Adventure', 'Indie', 'RPG']",432,333,139,432.0,0,0,3,0
1245620,ELDEN RING,13,1448440,Wo Long: Fallen Dynasty,0.571395,2023-03-03,"['Action', 'Adventure', 'RPG']",19733,13167,14086,19736.0,1746,907,246,79
1245620,ELDEN RING,14,485510,Nioh: Complete Edition,0.562519,2017-11-07,"['Action', 'RPG']",26058,27511,6880,26100.0,0,0,584,84
1245620,ELDEN RING,15,649950,Ashen,0.561229,2019-12-09,"['Action', 'Adventure', 'RPG']",3006,2406,1120,3005.0,0,0,14,81
1245620,ELDEN RING,16,1456650,Pascal's Wager: Definitive Edition,0.557997,2021-03-11,"['Action', 'Adventure', 'RPG']",1114,881,371,1114.0,0,0,11,0
