query_appid,query_game,semantic_rank,appid,recommended_game,semantic_score,release_date,release_year,genres,recommendations,pct_pos_total,num_reviews_total,peak_ccu
1245620,ELDEN RING,1,3143110,Elden Sword,0.713858,2024-08-19,2024,"['Action', 'Adventure', 'Casual', 'Indie']",0,,0.0,0
1245620,ELDEN RING,2,2392310,エルミナージュORIGINAL ～闇の巫女と神々の指輪～,0.660008,2024-05-23,2024,['RPG'],0,79.0,86.0,5
1245620,ELDEN RING,3,593410,Elven Legend,0.657197,2017-03-08,2017,"['Casual', 'Indie', 'Strategy']",0,73.0,42.0,0
1245620,ELDEN RING,4,737490,Journey to Luonto,0.656227,2017-11-27,2017,"['Adventure', 'Free To Play', 'RPG']",0,78.0,28.0,0
1245620,ELDEN RING,5,2120790,Ringborn,0.654274,2023-01-12,2023,"['Action', 'Adventure', 'RPG']",0,,0.0,0
1245620,ELDEN RING,6,2149990,Gems Defenders,0.651456,2024-08-30,2024,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",0,,0.0,0
1245620,ELDEN RING,7,2493560,Heros and Monsters: Idle Incremental,0.651438,2023-07-21,2023,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",0,69.0,105.0,0
1245620,ELDEN RING,8,1501750,Lords of the Fallen,0.645743,2023-10-13,2023,"['Action', 'Adventure', 'RPG']",23921,63.0,23930.0,365
1245620,ELDEN RING,9,2699890,Battlecry Berserkers,0.644013,2024-09-06,2024,"['Action', 'Adventure', 'Indie', 'RPG']",0,,0.0,0
1245620,ELDEN RING,10,581340,Narborion Saga,0.642581,2017-03-20,2017,"['Adventure', 'RPG', 'Strategy']",0,68.0,29.0,28
1245620,ELDEN RING,11,2854400,Kingdom of Arcana,0.641481,2024-05-16,2024,"['Action', 'Adventure', 'Indie', 'RPG']",0,,0.0,0
1245620,ELDEN RING,12,298160,Eldevin,0.640957,2014-11-05,2014,"['Casual', 'Free To Play', 'Indie', 'Massively Multiplayer', 'RPG']",0,79.0,1726.0,14
1245620,ELDEN RING,13,2805910,The Circle Tales: Elvenwoods,0.640825,2024-03-15,2024,"['Action', 'Adventure', 'Indie', 'RPG', 'Free To Play']",0,,0.0,0
1245620,ELDEN RING,14,487180,The Lords of the Earth Flame,0.638889,2016-09-02,2016,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']",0,58.0,93.0,0
1245620,ELDEN RING,15,253410,Ravensword: Shadowlands,0.637354,2013-12-06,2013,"['Action', 'Adventure', 'Indie', 'RPG']",155,62.0,155.0,1
1245620,ELDEN RING,16,1131060,Dungeon of Eyden,0.637148,2021-03-12,2021,"['Action', 'Adventure', 'RPG']",0,,0.0,0
1245620,ELDEN RING,17,2326510,Ettrian - The Elf Prince,0.634748,2023-07-03,2023,"['Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",0,,0.0,0
1245620,ELDEN RING,18,354740,Echoes of Aetheria,0.632294,2016-01-15,2016,"['Indie', 'RPG']",133,82.0,133.0,0
1245620,ELDEN RING,19,1215520,Aldred Knight,0.632025,2020-02-01,2020,"['Adventure', 'Casual', 'Indie']",0,,0.0,0
1245620,ELDEN RING,20,3014470,Rings of Zilfin,0.6315,2024-12-05,2024,['RPG'],0,,0.0,0
1245620,ELDEN RING,21,439770,The Lost Heir: The Fall of Daria,0.631416,2016-01-29,2016,"['Indie', 'RPG']",0,73.0,60.0,0
1245620,ELDEN RING,22,885890,Immortal Quest,0.631294,2018-08-17,2018,"['Action', 'Adventure', 'Indie', 'RPG']",0,,0.0,0
1245620,ELDEN RING,23,640820,Pathfinder: Kingmaker — Enhanced Plus Edition,0.630817,2018-09-25,2018,"['Adventure', 'RPG']",26388,77.0,26394.0,1033
1245620,ELDEN RING,24,1296360,Archvale,0.630603,2021-12-02,2021,"['Action', 'Adventure']",1878,89.0,1880.0,8
1245620,ELDEN RING,25,596540,The Lost Heir 3: Demon War,0.62942,2017-03-17,2017,"['Adventure', 'Indie', 'RPG']",0,63.0,33.0,0
1245620,ELDEN RING,26,2609540,I Think I'm in Love with a Demon Prince,0.629153,2024-01-12,2024,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",0,92.0,13.0,0
1245620,ELDEN RING,27,2945380,The Throne,0.628969,2024-09-30,2024,"['Action', 'Adventure', 'Indie']",0,,0.0,0
1245620,ELDEN RING,28,1860490,Lords & Blades,0.628417,2025-01-31,2025,"['Action', 'Adventure', 'Indie', 'RPG']",0,,0.0,0
1245620,ELDEN RING,29,1631010,Goldenjar Fall - Definitive Edition,0.628336,2023-09-19,2023,"['Action', 'Adventure', 'Indie', 'RPG']",0,59.0,27.0,0
1245620,ELDEN RING,30,2230620,Maeldor: Quest Of The Artifact,0.62804,2023-10-25,2023,"['Action', 'Adventure', 'Indie', 'RPG']",0,,0.0,0
1245620,ELDEN RING,31,2628100,Swords of Blood,0.62802,2024-01-22,2024,"['Action', 'RPG']",0,,0.0,0
1245620,ELDEN RING,32,2650450,Blood of the Elves,0.627048,2024-05-26,2024,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",0,63.0,11.0,0
1245620,ELDEN RING,33,1203620,Enshrouded,0.626918,2024-01-24,2024,"['Action', 'Adventure', 'RPG', 'Early Access']",65053,86.0,65175.0,15518
1245620,ELDEN RING,34,832650,Royal Adventure,0.625321,2018-04-19,2018,"['Adventure', 'Indie', 'RPG', 'Strategy']",0,65.0,23.0,1
1245620,ELDEN RING,35,523750,The 4th Coming,0.625115,2019-11-18,2019,"['Adventure', 'Massively Multiplayer', 'RPG']",0,71.0,98.0,7
1245620,ELDEN RING,36,265300,Lords Of The Fallen™ 2014,0.624164,2014-10-28,2014,"['Action', 'RPG']",12685,58.0,12685.0,42
1245620,ELDEN RING,37,2618360,Kingdom of Fallen: The Last Stand,0.623115,2024-05-15,2024,"['Action', 'Adventure', 'Indie', 'RPG']",0,36.0,38.0,10
1245620,ELDEN RING,38,408060,SAVAGE: The Shard of Gosen,0.623111,2019-08-30,2019,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",0,79.0,63.0,0
1245620,ELDEN RING,39,3475860,Tale of Dark Lands,0.623045,2025-02-27,2025,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",0,,0.0,0
1245620,ELDEN RING,40,2687390,Hellsting,0.622284,2025-02-28,2025,"['Action', 'Adventure', 'RPG', 'Early Access']",0,,0.0,0
1245620,ELDEN RING,41,816340,Kingdom Rush Origins - Tower Defense,0.622265,2018-10-17,2018,"['Indie', 'Strategy']",6494,95.0,6495.0,164
1245620,ELDEN RING,42,2372880,As Crônicas de Mar Céu,0.621749,2023-05-01,2023,"['Adventure', 'RPG']",0,,0.0,0
1245620,ELDEN RING,43,2588550,Soulstone of Hope,0.620635,2023-10-16,2023,['RPG'],0,,0.0,0
1245620,ELDEN RING,44,289200,Ascension to the Throne,0.620601,2014-04-23,2014,"['RPG', 'Strategy']",468,91.0,470.0,3
1245620,ELDEN RING,45,2476500,Alphadia I & II,0.620456,2023-10-12,2023,"['Adventure', 'RPG', 'Simulation', 'Strategy']",0,,0.0,1
1245620,ELDEN RING,46,722990,Dungeons of Hell,0.620361,2017-10-19,2017,"['Casual', 'Indie', 'RPG', 'Strategy']",0,90.0,30.0,0
1245620,ELDEN RING,47,2184350,Guild Saga: Vanished Worlds,0.620242,2024-10-10,2024,"['Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",189,86.0,190.0,0
1245620,ELDEN RING,48,307010,Northmark: Hour of the Wolf,0.620147,2014-08-02,2014,"['Adventure', 'Casual', 'Indie', 'RPG']",140,86.0,140.0,1
1245620,ELDEN RING,49,1369630,ENDER LILIES: Quietus of the Knights,0.620056,2021-06-21,2021,"['Action', 'Indie', 'RPG']",35328,94.0,35371.0,335
